"Vertices","Edges","KeyComp","ElapsedTime"
"1000","20000","50082","8.1023"
"1100","20000","52874","6.9018"
"1200","20000","55084","4.5238"
"1300","20000","57390","4.3288"
"1400","20000","60592","4.0902"
"1500","20000","63069","4.7191"
"1600","20000","65715","4.792"
"1700","20000","67610","4.7736"
"1800","20000","70457","6.3215"
"1900","20000","71927","5.2237"
"2000","20000","74676","6.3785"
"2100","20000","76833","5.7692"
"2200","20000","79696","6.425"
"2300","20000","81370","6.0646"
"2400","20000","83666","6.7659"
"2500","20000","86400","6.7606"
"2600","20000","88170","7.9011"
"2700","20000","90530","7.5203"
"2800","20000","91983","7.8673"
"2900","20000","94739","8.0819"
"3000","20000","96721","8.7061"
"3100","20000","98644","8.8784"
"3200","20000","102376","9.9017"
"3300","20000","103738","11.25"
"3400","20000","105164","10.5682"
"3500","20000","107558","9.7977"
"3600","20000","109092","14.413"
"3700","20000","111541","11.3026"
"3800","20000","113170","11.3195"
"3900","20000","114957","11.4457"
"4000","20000","117200","11.9165"
"4100","20000","119263","17.1275"
"4200","20000","121033","11.8229"
"4300","20000","123454","13.0569"
"4400","20000","126204","12.7852"
"4500","20000","126845","12.7547"
"4600","20000","129081","13.233"
"4700","20000","131833","13.9139"
"4800","20000","132516","16.3585"
"4900","20000","134212","14.1873"
"5000","20000","137091","15.2788"
"5100","20000","138596","15.5613"
"5200","20000","140284","16.7948"
"5300","20000","141430","15.9696"
"5400","20000","142676","17.4346"
"5500","20000","145287","17.6615"
"5600","20000","146670","17.6352"
"5700","20000","148889","16.6177"
"5800","20000","149890","16.9113"
"5900","20000","151472","16.9224"
"6000","20000","153845","17.3947"
"6100","20000","153919","22.0916"
"6200","20000","156292","18.6575"
"6300","20000","157791","20.4812"
"6400","20000","158670","18.4786"
"6500","20000","160585","18.9332"
"6600","20000","161873","18.9712"
"6700","20000","164768","19.0933"
"6800","20000","165074","19.3786"
"6900","20000","167574","20.4136"
"7000","20000","166598","20.1214"
"7100","20000","167735","20.3218"
"7200","20000","169937","21.0797"
"7300","20000","172516","21.3809"
"7400","20000","171536","21.0834"
"7500","20000","173676","21.4011"
"7600","20000","174389","22.3711"
"7700","20000","173285","27.5628"
"7800","20000","175460","24.2401"
"7900","20000","176172","27.4678"
"8000","20000","177901","23.4667"
"8100","20000","177874","23.9523"
"8200","20000","176163","23.8092"
"8300","20000","175987","25.0153"
"8400","20000","179666","24.6335"
"8500","20000","179509","26.1691"
"8600","20000","179189","26.8557"
"8700","20000","181368","31.7541"
"8800","20000","179516","26.8735"
"8900","20000","181956","27.8545"
