"Vertices","Edges","KeyComp","ElapsedTime"
"100","1000","2380","2.5219"
"100","1100","2549","0.4991"
"100","1200","2669","0.4487"
"100","1300","2767","0.7095"
"100","1400","2819","0.4507"
"100","1500","3037","0.4803"
"100","1600","3127","0.4528"
"100","1700","3204","0.3921"
"100","1800","3352","0.398"
"100","1900","3415","0.3882"
"100","2000","3524","0.4074"
"100","2100","3635","0.3976"
"100","2200","3664","0.5819"
"100","2300","3817","0.4529"
"100","2400","3948","0.6297"
"100","2500","4042","0.6536"
"100","2600","4255","0.7567"
"100","2700","4281","0.5334"
"100","2800","4391","0.549"
"100","2900","4480","0.5493"
"100","3000","4595","0.6139"
"100","3100","4575","0.9337"
"100","3200","4776","0.798"
"100","3300","4908","0.6702"
"100","3400","5020","0.7242"
"100","3500","5064","0.785"
"100","3600","5158","0.7633"
"100","3700","5316","0.858"
"100","3800","5387","0.9822"
"100","3900","5451","0.8712"
"100","4000","5575","0.8894"
"100","4100","5704","0.8966"
"100","4200","5745","1.0784"
"100","4300","5958","1.0393"
"100","4400","6057","1.0793"
"100","4500","6145","1.1598"
"100","4600","6201","1.1823"
"100","4700","6216","1.2249"
"100","4800","6375","1.2746"
"100","4900","6620","1.3334"
"100","5000","6603","1.4586"
"100","5100","6699","1.4114"
"100","5200","6755","1.7719"
"100","5300","6922","1.5503"
"100","5400","6928","1.6529"
"100","5500","7085","1.7169"
"100","5600","7254","1.8144"
"100","5700","7247","1.8169"
"100","5800","7291","1.8568"
"100","5900","7536","1.9581"
"100","6000","7580","2.1915"
"100","6100","7708","2.2403"
"100","6200","7831","2.3564"
"100","6300","7910","2.1779"
"100","6400","8063","2.3633"
"100","6500","8055","2.6703"
"100","6600","8097","2.5585"
"100","6700","8290","2.5333"
"100","6800","8428","2.8638"
"100","6900","8452","2.8803"
"100","7000","8655","2.8457"
"100","7100","8713","2.9821"
"100","7200","8748","3.1088"
"100","7300","8921","3.2752"
"100","7400","8986","3.0782"
"100","7500","9072","3.3271"
"100","7600","9282","3.663"
"100","7700","9166","3.5759"
"100","7800","9385","3.3997"
"100","7900","9604","3.7079"
"100","8000","9644","4.1657"
"100","8100","9634","4.2474"
"100","8200","9765","4.0352"
"100","8300","9894","4.6888"
"100","8400","9979","4.5996"
"100","8500","10084","4.7816"
"100","8600","10192","4.8425"
"100","8700","10334","4.9211"
"100","8800","10408","5.444"
"100","8900","10564","5.3825"
"100","9000","10641","5.7988"
"100","9100","10719","5.4364"
"100","9200","10766","5.5053"
"100","9300","10908","5.9014"
"100","9400","11000","6.527"
"100","9500","11069","6.5766"
"100","9600","11129","6.3343"
"100","9700","11300","7.5106"
"100","9800","11443","6.9502"
"100","9900","11513","7.1894"
