"Vertices","Edges","KeyComp","ElapsedTime"
"1000","20000","1001000","21.2462"
"1100","20000","1211100","5.2312"
"1200","20000","1441200","2.2844"
"1300","20000","1691300","2.0253"
"1400","20000","1961400","2.4378"
"1500","20000","2251500","2.8282"
"1600","20000","2561600","3.0134"
"1700","20000","2891700","3.6959"
"1800","20000","3241800","3.7021"
"1900","20000","3611900","4.0871"
"2000","20000","4002000","4.7168"
"2100","20000","4412100","4.9146"
"2200","20000","4842200","5.8188"
"2300","20000","5292300","5.7252"
"2400","20000","5762400","6.2634"
"2500","20000","6252500","6.5911"
"2600","20000","6762600","12.0039"
"2700","20000","7292700","8.2483"
"2800","20000","7842800","8.6513"
"2900","20000","8412900","9.3756"
"3000","20000","9003000","10.3053"
"3100","20000","9613100","10.3713"
"3200","20000","10243200","10.8733"
"3300","20000","10893300","11.8487"
"3400","20000","11563400","12.3097"
"3500","20000","12253500","12.9599"
"3600","20000","12963600","14.3692"
"3700","20000","13693700","24.7725"
"3800","20000","14443800","15.0516"
"3900","20000","15213900","16.3571"
"4000","20000","16004000","16.9478"
"4100","20000","16814100","18.2834"
"4200","20000","17644200","18.5336"
"4300","20000","18494300","19.2586"
"4400","20000","19364400","20.2588"
"4500","20000","20254500","21.3046"
"4600","20000","21164600","22.2311"
"4700","20000","22094700","23.0778"
"4800","20000","23044800","24.0441"
"4900","20000","24014900","25.2451"
"5000","20000","25005000","25.9143"
"5100","20000","26015100","27.6169"
"5200","20000","27045200","28.9331"
"5300","20000","28095300","35.7259"
"5400","20000","29165400","30.5131"
"5500","20000","30255500","32.1702"
"5600","20000","31365600","32.7583"
"5700","20000","32495700","34.628"
"5800","20000","33645800","35.5944"
"5900","20000","34815900","36.439"
"6000","20000","36006000","37.0139"
"6100","20000","37216100","38.8967"
"6200","20000","38446200","39.9063"
"6300","20000","39696300","41.2249"
"6400","20000","40966400","50.5518"
"6500","20000","42256500","43.986"
"6600","20000","43566600","45.235"
"6700","20000","44896700","46.5317"
"6800","20000","46246800","48.1466"
"6900","20000","47616900","49.3374"
"7000","20000","49007000","51.301"
"7100","20000","50417100","52.403"
"7200","20000","51847200","54.6155"
"7300","20000","53297300","55.5218"
"7400","20000","54767400","57.3968"
"7500","20000","56257500","58.2171"
"7600","20000","57767600","60.9231"
"7700","20000","59297700","60.802"
"7800","20000","60847800","62.555"
"7900","20000","62417900","63.672"
"8000","20000","64008000","65.6079"
"8100","20000","65618100","66.9987"
"8200","20000","67248200","69.4553"
"8300","20000","68898300","71.0063"
"8400","20000","70568400","72.5511"
"8500","20000","72258500","75.4352"
"8600","20000","73968600","77.6899"
"8700","20000","75698700","78.1728"
"8800","20000","77448800","80.0828"
"8900","20000","79218900","87.6104"
"9000","20000","81009000","83.4908"
"9100","20000","82819100","85.4598"
"9200","20000","84649200","87.9564"
"9300","20000","86499300","88.6024"
"9400","20000","88369400","90.948"
"9500","20000","90259500","93.5312"
"9600","20000","92169600","96.2101"
"9700","20000","94099700","96.7833"
"9800","20000","96049800","98.6114"
"9900","20000","98019900","100.0566"
